progress,score,time
6.475768411,0.998458064,411.408542871
6.495319317,0.998487943,412.676438808
6.514939402,0.998517212,413.948426962
6.534778133,0.998546208,415.218559980
6.554303447,0.998574430,416.484721899
6.573980263,0.998602103,417.754071712
6.594652856,0.998630560,419.033782005
6.615252022,0.998658518,420.319912910
6.634442187,0.998684265,421.588527918
6.653801102,0.998709338,422.861179829
6.673315658,0.998734214,424.130995989
6.692962704,0.998758993,425.398649693
6.712483624,0.998782971,426.664109707
6.732120110,0.998806603,427.928352594
6.751936316,0.998829953,429.210016727
6.773064358,0.998854362,430.498874903
6.792997562,0.998877236,431.768682957
6.812412928,0.998898895,433.031508923
6.831914266,0.998920197,434.296798944
6.851629257,0.998941152,435.566442013
6.871423676,0.998961837,436.835663795
6.891090092,0.998981933,438.107672691
6.910837192,0.999001776,439.375739813
progress,score,seconds
0.023291270,0.946559077,1.123396873
0.052168913,0.993315760,2.251931906
0.079414030,0.977065397,3.383420944
0.108670439,0.962180295,4.516128063
0.137451687,0.943715886,5.651289940
0.165043831,0.930161416,6.780814886
0.193503380,0.916528073,7.905464888
0.221896764,0.902744294,9.027786970
0.250740541,0.889865667,10.159022808
0.279207472,0.878257944,11.310851097
0.307387442,0.864748966,12.430353880
0.334694272,0.853767017,13.560348988
0.363812135,0.842030214,14.690872908
0.392757593,0.830649095,15.818481922
0.420188253,0.820047327,16.953481913
0.448560082,0.808181495,18.077221870
0.476526221,0.798572643,19.206207037
0.504879874,0.787427621,20.343951941
0.533390579,0.777210231,21.468497992
0.561306291,0.767707445,22.608753920
0.590047467,0.757598425,23.737607956
0.617675210,0.748363606,24.877710819
0.646342714,0.738719917,26.012419939
0.673449803,0.729424424,27.142812014
0.701583061,0.720354950,28.268734932
0.730308910,0.711668699,29.398118973
0.758511464,0.702583795,30.526077032
0.787850830,0.694016340,31.676054955
0.815333213,0.686010224,32.834506989
0.844046593,0.677147852,33.986725807
0.872149917,0.668825243,35.126914024
0.900432443,0.660658231,36.254534006
0.929591349,0.652693356,37.395081043
0.957429677,0.645156532,38.557933092
0.986279519,0.637259356,39.711440802
1.011645444,0.635820837,40.859640837
1.040683747,0.646174849,42.012809038
1.068824800,0.656040401,43.177400827
1.097745588,0.665816840,44.322332859
